time,data,median,LB,UB
0,1,1,1,1
1,1,0,0,2
2,0,0,0,2.5
3,0,0,0,3
4,0,0,0,3
5,0,0,0,3
6,1,0,0,3
7,0,0,0,3
8,1,0,0,3
9,1,0,0,3
10,1,0,0,4
11,1,0,0,4
12,1,0,0,4
13,2,0,0,4
14,0,0,0,4
15,0,0,0,4
16,1,0,0,4
17,0,0,0,4
18,2,0,0,4
19,2,0,0,5
20,2,1,0,5
21,1,1,0,5
22,0,1,0,5
23,0,1,0,5
24,0,1,0,5
25,0,1,0,6
26,0,1,0,6
27,0,1,0,6
28,2,1,0,6
29,0,1,0,6
30,1,1,0,6
31,0,1,0,6
32,1,1,0,6
33,0,1,0,6
34,0,1,0,7
35,3,1,0,7
36,1,1,0,7
37,5,1,0,7
38,5,2,0,7
39,1,2,0,7
40,1,2,0,7
41,0,2,0,7
42,2,2,0,8
43,1,2,0,8
44,0,2,0,8
45,0,2,0,8
46,0,2,0,8
47,1,2,0,8
48,2,2,0,8
49,3,2,0,9
50,11,2,0,9
51,4,2,0,9
52,4,2,0,9
53,2,2,0,9
54,2,3,0,9
55,5,3,0,9
56,3,3,0,10
57,13,3,0,10
58,9,3,0,10
59,3,3,0,10
60,0,3,0,10
NaN,NaN,3,0,11
NaN,NaN,3,0,11
NaN,NaN,3,0,11
NaN,NaN,3,0,11
