Date,data,median,LB,UB
1/8/2023,1,0.61,0,2.4
1/15/2023,1,0.61,0,2.43
1/22/2023,0,0.36,0,2.1
1/29/2023,0,0.12,0,1.86
2/5/2023,0,0.06,0,1.79
2/12/2023,0,0.17,0,1.89
2/19/2023,1,0.37,0,2.12
2/26/2023,0,0.59,0,2.29
3/5/2023,1,0.77,0,2.53
3/12/2023,1,0.93,0,2.62
3/19/2023,1,1.07,0,2.84
3/26/2023,1,1.18,0,2.87
4/2/2023,1,1.15,0,2.92
4/9/2023,2,0.92,0,2.62
4/16/2023,0,0.61,0,2.37
4/23/2023,0,0.4,0,2.11
4/30/2023,1,0.5,0,2.24
5/7/2023,0,0.93,0,2.66
5/14/2023,2,1.46,0,3.18
5/21/2023,2,1.79,0.05,3.54
5/28/2023,2,1.63,0,3.33
6/4/2023,1,1.08,0,2.84
6/11/2023,0,0.47,0,2.16
6/18/2023,0,0.02,0,1.78
6/25/2023,0,0,0,1.54
7/2/2023,0,0,0,1.7
7/9/2023,0,0.19,0,1.89
7/16/2023,0,0.5,0,2.25
7/23/2023,2,0.75,0,2.47
7/30/2023,0,0.8,0,2.53
8/6/2023,1,0.63,0,2.36
8/13/2023,0,0.4,0,2.12
8/20/2023,1,0.28,0,2.03
8/27/2023,0,0.39,0,2.09
9/3/2023,0,0.89,0,2.65
9/10/2023,3,1.82,0.13,3.52
9/17/2023,1,2.86,1.1,4.63
9/24/2023,5,3.54,1.84,5.23
10/1/2023,5,3.39,1.63,5.15
10/8/2023,1,2.38,0.68,4.08
10/15/2023,1,1.39,0,3.14
10/22/2023,0,0.95,0,2.67
10/29/2023,2,0.79,0,2.52
11/5/2023,1,0.62,0,2.35
11/12/2023,0,0.27,0,1.99
11/19/2023,0,0,0,1.72
11/26/2023,0,0.14,0,1.84
12/3/2023,1,1.11,0,2.87
12/10/2023,2,2.93,1.23,4.62
12/17/2023,3,4.82,3.05,6.58
12/24/2023,11,5.85,4.15,7.54
12/31/2023,4,5.52,3.77,7.28
1/7/2024,4,4.01,2.3,5.71
1/14/2024,2,2.75,1.01,4.49
1/21/2024,2,2.82,1.09,4.54
1/28/2024,5,4.42,2.69,6.14
2/4/2024,3,6.77,5.03,8.52
2/11/2024,13,8.25,6.51,10
2/18/2024,9,7.78,5.95,9.6
2/25/2024,3,4.85,3.05,6.64
3/3/2024,0,0.26,0,2.93
3/10/2024,NA,0,0,0.33
3/17/2024,NA,0,0,0
3/24/2024,NA,0,0,0
3/31/2024,NA,0,0,0
