Date,data,median,LB,UB
1/8/2023,1,0,0,0.68
1/15/2023,1,0,0,0.72
1/22/2023,0,0,0,0.76
1/29/2023,0,0,0,0.81
2/5/2023,0,0,0,0.85
2/12/2023,0,0,0,0.9
2/19/2023,1,0.02,0,0.94
2/26/2023,0,0.09,0,0.99
3/5/2023,1,0.16,0,1.03
3/12/2023,1,0.23,0,1.08
3/19/2023,1,0.3,0,1.12
3/26/2023,1,0.37,0,1.17
4/2/2023,1,0.44,0,1.22
4/9/2023,2,0.51,0,1.27
4/16/2023,0,0.58,0,1.32
4/23/2023,0,0.65,0,1.37
4/30/2023,1,0.72,0.02,1.42
5/7/2023,0,0.79,0.11,1.47
5/14/2023,2,0.86,0.2,1.52
5/21/2023,2,0.93,0.28,1.57
5/28/2023,2,1,0.37,1.63
6/4/2023,1,1.07,0.45,1.68
6/11/2023,0,1.14,0.54,1.74
6/18/2023,0,1.21,0.62,1.8
6/25/2023,0,1.28,0.7,1.86
7/2/2023,0,1.35,0.77,1.92
7/9/2023,0,1.42,0.85,1.98
7/16/2023,0,1.49,0.93,2.05
7/23/2023,2,1.56,1,2.11
7/30/2023,0,1.63,1.07,2.18
8/6/2023,1,1.7,1.14,2.25
8/13/2023,0,1.77,1.21,2.32
8/20/2023,1,1.84,1.27,2.4
8/27/2023,0,1.91,1.34,2.47
9/3/2023,0,1.98,1.4,2.55
9/10/2023,3,2.04,1.46,2.63
9/17/2023,1,2.11,1.52,2.71
9/24/2023,5,2.18,1.58,2.79
10/1/2023,5,2.25,1.64,2.87
10/8/2023,1,2.32,1.69,2.95
10/15/2023,1,2.39,1.75,3.04
10/22/2023,0,2.46,1.8,3.12
10/29/2023,2,2.53,1.85,3.21
11/5/2023,1,2.6,1.91,3.3
11/12/2023,0,2.67,1.96,3.39
11/19/2023,0,2.74,2.01,3.48
11/26/2023,0,2.81,2.06,3.57
12/3/2023,1,2.88,2.1,3.66
12/10/2023,2,2.95,2.15,3.75
12/17/2023,3,3.02,2.2,3.84
12/24/2023,11,3.09,2.25,3.94
12/31/2023,4,3.16,2.29,4.03
1/7/2024,4,3.23,2.34,4.12
1/14/2024,2,3.3,2.38,4.22
1/21/2024,2,3.37,2.43,4.31
1/28/2024,5,3.44,2.47,4.41
2/4/2024,3,3.51,2.52,4.5
2/11/2024,13,3.58,2.56,4.6
2/18/2024,9,3.65,2.6,4.69
2/25/2024,3,3.72,2.65,4.79
3/3/2024,0,3.79,2.69,4.89
3/10/2024,NA,3.86,2.73,4.98
3/17/2024,NA,3.93,2.77,5.08
3/24/2024,NA,4,2.82,5.18
3/31/2024,NA,4.07,2.86,5.27
