Date,data,median,LB,UB
1/8/2023,1,0,0,4.24
1/15/2023,1,0,0,3.69
1/22/2023,0,0,0,3.83
1/29/2023,0,0,0,4.16
2/5/2023,0,0,0,4.15
2/12/2023,0,0,0,4.7
2/19/2023,1,0.02,0,4.68
2/26/2023,0,0.09,0,4.28
3/5/2023,1,0.16,0,4.61
3/12/2023,1,0.23,0,4.34
3/19/2023,1,0.3,0,4.5
3/26/2023,1,0.37,0,4.92
4/2/2023,1,0.44,0,4.28
4/9/2023,2,0.51,0,4.63
4/16/2023,0,0.58,0,4.77
4/23/2023,0,0.65,0,4.94
4/30/2023,1,0.72,0,4.79
5/7/2023,0,0.79,0,5.45
5/14/2023,2,0.86,0,5.46
5/21/2023,2,0.93,0,5.09
5/28/2023,2,1,0,5.28
6/4/2023,1,1.07,0,5.71
6/11/2023,0,1.14,0,5.25
6/18/2023,0,1.21,0,5.49
6/25/2023,0,1.28,0,5.57
7/2/2023,0,1.35,0,5.54
7/9/2023,0,1.42,0,5.9
7/16/2023,0,1.49,0,5.69
7/23/2023,2,1.56,0,5.93
7/30/2023,0,1.63,0,6.19
8/6/2023,1,1.7,0,6.1
8/13/2023,0,1.77,0,6.27
8/20/2023,1,1.84,0,6
8/27/2023,0,1.9,0,6.38
9/3/2023,0,1.97,0,6.15
9/10/2023,3,2.04,0,6.4
9/17/2023,1,2.11,0,6.78
9/24/2023,5,2.18,0,5.99
10/1/2023,5,2.25,0,6.39
10/8/2023,1,2.32,0,6.54
10/15/2023,1,2.39,0,6.77
10/22/2023,0,2.46,0,6.54
10/29/2023,2,2.53,0,6.74
11/5/2023,1,2.6,0,7.12
11/12/2023,0,2.67,0,6.88
11/19/2023,0,2.74,0,7.14
11/26/2023,0,2.81,0,6.95
12/3/2023,1,2.88,0,7.08
12/10/2023,2,2.95,0,6.95
12/17/2023,3,3.02,0,7.4
12/24/2023,11,3.09,0,7.09
12/31/2023,4,3.16,0,7.58
1/7/2024,4,3.23,0,7.82
1/14/2024,2,3.3,0,7.68
1/21/2024,2,3.37,0,7.61
1/28/2024,5,3.44,0,7.91
2/4/2024,3,3.51,0,8.07
2/11/2024,13,3.58,0,7.83
2/18/2024,9,3.65,0,7.78
2/25/2024,3,3.72,0,7.88
3/3/2024,0,3.79,0,7.99
3/10/2024,NA,3.86,0,8.28
3/17/2024,NA,3.93,0,8.29
3/24/2024,NA,3.99,0,8.16
3/31/2024,NA,4.06,0,8.37
