Date,data,median,LB,UB
1/8/2023,1,0,0,6.81
1/15/2023,1,0,0,5.76
1/22/2023,0,0,0,7.14
1/29/2023,0,0,0,6.75
2/5/2023,0,0,0,6.71
2/12/2023,0,0,0,6.64
2/19/2023,1,0,0,7.48
2/26/2023,0,0,0,7.67
3/5/2023,1,0,0,7.09
3/12/2023,1,0,0,7.7
3/19/2023,1,0,0,8.15
3/26/2023,1,0,0,7.42
4/2/2023,1,0.07,0,7.37
4/9/2023,2,0.19,0,7.66
4/16/2023,0,0.31,0,8.44
4/23/2023,0,0.43,0,7.97
4/30/2023,1,0.55,0,8.17
5/7/2023,0,0.67,0,8.63
5/14/2023,2,0.79,0,8.8
5/21/2023,2,0.91,0,8.35
5/28/2023,2,1.03,0,8.76
6/4/2023,1,1.15,0,8.68
6/11/2023,0,1.27,0,8.77
6/18/2023,0,1.39,0,9.79
6/25/2023,0,1.51,0,9.64
7/2/2023,0,1.63,0,9.02
7/9/2023,0,1.75,0,9.2
7/16/2023,0,1.87,0,9.57
7/23/2023,2,1.99,0,9.38
7/30/2023,0,2.11,0,9.7
8/6/2023,1,2.23,0,9.96
8/13/2023,0,2.35,0,10.16
8/20/2023,1,2.47,0,10.51
8/27/2023,0,2.59,0,10.09
9/3/2023,0,2.71,0,10.57
9/10/2023,3,2.83,0,10.21
9/17/2023,1,2.95,0,10.35
9/24/2023,5,3.07,0,10.49
10/1/2023,5,3.19,0,10.79
10/8/2023,1,3.31,0,10.74
10/15/2023,1,3.43,0,11.26
10/22/2023,0,3.55,0,11.49
10/29/2023,2,3.67,0,11.1
11/5/2023,1,3.79,0,11.61
11/12/2023,0,3.91,0,11.3
11/19/2023,0,4.03,0,11.67
11/26/2023,0,4.16,0,11.9
12/3/2023,1,4.28,0,12.06
12/10/2023,2,4.4,0,11.6
12/17/2023,3,4.52,0,12.38
12/24/2023,11,4.64,0,11.95
12/31/2023,4,4.76,0,12.66
1/7/2024,4,4.88,0,12.48
1/14/2024,2,5,0,13.66
1/21/2024,2,5.12,0,12.48
1/28/2024,5,5.24,0,12.74
2/4/2024,3,5.36,0,13.41
2/11/2024,14,5.48,0,13.28
2/18/2024,9,5.6,0,13.73
2/25/2024,6,5.72,0,13.88
3/3/2024,3,5.84,0,13.2
3/10/2024,11,5.96,0,13.7
3/17/2024,31,6.08,0,13.69
3/24/2024,1,6.2,0,13.8
3/31/2024,NA,6.32,0,13.9
4/7/2024,NA,6.44,0,14.13
4/14/2024,NA,6.56,0,14.26
4/21/2024,NA,6.68,0,14.17
