time,data,median,LB,UB
0,1,1,1,1
1,1,0,0,2
2,0,0,0,3
3,0,0,0,3
4,0,0,0,3
5,0,0,0,3
6,1,0,0,3
7,0,0,0,3
8,1,0,0,4
9,1,0,0,4
10,1,0,0,4
11,1,0,0,4
12,1,0,0,4
13,2,0,0,5
14,0,0,0,5
15,0,0,0,5
16,1,0,0,5
17,0,0,0,5
18,2,0,0,6
19,2,0,0,6
20,2,0,0,6
21,1,0,0,6
22,0,0,0,6
23,0,0,0,7
24,0,1,0,7
25,0,1,0,7
26,0,1,0,7
27,0,1,0,7
28,2,1,0,7.5
29,0,1,0,7
30,1,1,0,8
31,0,1,0,8
32,1,1,0,8
33,0,1,0,8
34,0,1,0,9
35,3,1,0,9
36,1,2,0,9
37,5,2,0,10
38,5,2,0,9
39,1,2,0,10
40,1,2,0,10
41,0,2,0,10
42,2,2,0,11
43,1,2,0,11
44,0,2,0,11
45,0,2,0,11
46,0,3,0,11
47,1,3,0,12
48,2,3,0,12
49,3,3,0,12.5
50,11,3,0,13
51,4,3,0,13
52,4,3,0,13
53,2,4,0,13
54,2,4,0,14
55,5,4,0,15
56,3,4,0,14
57,14,4,0,15
58,9,4,0,15
59,6,5,0,16
60,3,5,0,16
61,11,5,0,16
62,31,5,0,16
63,1,5,0,17
NaN,NaN,5,0,17
NaN,NaN,6,0,17
NaN,NaN,6,0,17
NaN,NaN,6,0,19
