Date,data,median,LB,UB
1/8/2023,1,0,0,0.52
1/15/2023,1,0,0,0.59
1/22/2023,0,0,0,0.67
1/29/2023,0,0,0,0.75
2/5/2023,0,0,0,0.82
2/12/2023,0,0,0,0.9
2/19/2023,1,0,0,0.98
2/26/2023,0,0,0,1.06
3/5/2023,1,0,0,1.14
3/12/2023,1,0,0,1.22
3/19/2023,1,0,0,1.3
3/26/2023,1,0,0,1.38
4/2/2023,1,0.07,0,1.46
4/9/2023,2,0.19,0,1.55
4/16/2023,0,0.31,0,1.63
4/23/2023,0,0.43,0,1.72
4/30/2023,1,0.55,0,1.8
5/7/2023,0,0.67,0,1.89
5/14/2023,2,0.79,0,1.98
5/21/2023,2,0.91,0,2.07
5/28/2023,2,1.03,0,2.17
6/4/2023,1,1.15,0.04,2.26
6/11/2023,0,1.27,0.19,2.36
6/18/2023,0,1.39,0.33,2.46
6/25/2023,0,1.51,0.47,2.56
7/2/2023,0,1.63,0.6,2.66
7/9/2023,0,1.75,0.74,2.77
7/16/2023,0,1.87,0.87,2.87
7/23/2023,2,1.99,1,2.99
7/30/2023,0,2.11,1.13,3.1
8/6/2023,1,2.23,1.25,3.21
8/13/2023,0,2.35,1.37,3.33
8/20/2023,1,2.47,1.49,3.45
8/27/2023,0,2.59,1.61,3.58
9/3/2023,0,2.71,1.72,3.71
9/10/2023,3,2.83,1.83,3.84
9/17/2023,1,2.95,1.94,3.97
9/24/2023,5,3.07,2.05,4.1
10/1/2023,5,3.2,2.15,4.24
10/8/2023,1,3.32,2.25,4.38
10/15/2023,1,3.44,2.35,4.52
10/22/2023,0,3.56,2.45,4.67
10/29/2023,2,3.68,2.54,4.81
11/5/2023,1,3.8,2.63,4.96
11/12/2023,0,3.92,2.72,5.11
11/19/2023,0,4.04,2.81,5.26
11/26/2023,0,4.16,2.9,5.41
12/3/2023,1,4.28,2.99,5.56
12/10/2023,2,4.4,3.08,5.72
12/17/2023,3,4.52,3.16,5.87
12/24/2023,11,4.64,3.24,6.03
12/31/2023,4,4.76,3.33,6.19
1/7/2024,4,4.88,3.41,6.35
1/14/2024,2,5,3.49,6.51
1/21/2024,2,5.12,3.57,6.67
1/28/2024,5,5.24,3.65,6.83
2/4/2024,3,5.36,3.73,6.99
2/11/2024,14,5.48,3.81,7.15
2/18/2024,9,5.6,3.88,7.32
2/25/2024,6,5.72,3.96,7.48
3/3/2024,3,5.84,4.04,7.64
3/10/2024,11,5.96,4.11,7.81
3/17/2024,31,6.08,4.19,7.97
3/24/2024,1,6.2,4.26,8.14
3/31/2024,NA,6.32,4.34,8.3
4/7/2024,NA,6.44,4.41,8.47
4/14/2024,NA,6.56,4.49,8.63
4/21/2024,NA,6.68,4.56,8.8
