time,data,median,LB,UB
0,1,1,1,1
1,1,0.0814559627119552,-0,4.35421809136374
2,0,0.12887906021228,-0,4.40474083987235
3,0,0.142409994601773,-0,4.63077972050437
4,0,0.120136939717598,-0,4.53388036765234
5,0,0.184276125323431,-0,4.64994738994662
6,1,0.242194103547793,-0,4.54864192262588
7,0,0.168393003945141,-0,4.50196636983428
8,1,0.219200829076505,-0,4.53931223351304
9,1,0.233899103061959,-0,4.52440607066486
10,1,0.206388834752032,-0,4.47077132472159
11,1,0.23075062688453,-0,4.59240144130276
12,1,0.284345889784616,-0,4.58553268441392
13,2,0.357446337580192,-0,4.74085552403183
14,0,0.34058110279739,-0,4.59904691474326
15,0,0.377720459979156,-0,4.78311924784368
16,1,0.43567566075054,-0,4.79936037591331
17,0,0.425017052179592,-0,4.75409425619175
18,2,0.447545809672707,-0,4.83835175062439
19,2,0.485215116448087,-0,4.89511334272703
20,2,0.412591399758216,-0,4.83120177616987
21,1,0.472443996181303,-0,4.83067709329251
22,0,0.602087138726365,-0,5.15948327265884
23,0,0.628168253160067,-0,5.01040990633682
24,0,0.669604066099367,-0,5.10049829931127
25,0,0.747697927980912,-0,5.36292802790666
26,0,0.746912927864116,-0,5.2108841545763
27,0,0.850367390562985,-0,5.3323748065156
28,2,0.789958709289504,-0,5.27301438186994
29,0,0.980300331845918,-0,5.25963569472381
30,1,1.01060943595312,-0,5.45273630818435
31,0,1.07862028218991,-0,5.44057226548486
32,1,1.07022821521385,-0,5.61755310220576
33,0,1.21918503619069,-0,5.79306894446973
34,0,1.27449779923836,-0,5.65595106035627
35,3,1.40363952068051,-0,5.89349699572871
36,1,1.4643879506613,-0,5.87516923835014
37,5,1.52542404923952,-0,5.96514138065659
38,5,1.65644179314346,-0,6.01068903323663
39,1,1.80064668241578,-0,6.12675352841721
40,1,1.94041157973845,-0,6.34991489745489
41,0,2.00394551101782,-0,6.61562555251888
42,2,2.15492028966252,-0,6.55154964057151
43,1,2.24661723081081,-0,6.69462451353669
44,0,2.35656751781302,-0,6.9514292732323
45,0,2.52093018567276,-0,6.98226401753929
46,0,2.70676529825499,-0,7.23105829370165
47,1,2.88084037139843,-0,7.39697689391842
48,2,3.04033562882234,-0,7.63217403358119
49,3,3.29483549300013,-0,7.70263850363346
50,11,3.46493704091142,-0,7.90933680580635
51,4,3.60879149915771,-0,8.05685483140663
52,4,3.85598132294868,-0,8.28293702688309
53,2,4.11888478420413,-0,8.61604770452979
54,2,4.35309089359847,-0,8.68499676493667
55,5,4.55209074471024,0.0992955709303862,9.08192431834036
56,3,4.8735379499176,0.431731474763043,9.32361443745345
57,14,5.21391847333748,0.613808936211083,9.71505647329437
58,9,5.51044856835575,1.05898851080231,10.0152529056414
59,6,5.88505263849614,1.15154161298226,10.4292874826164
60,2,6.17998189242171,1.52393620757957,10.8426074578137
61,10,6.55125876714366,1.71744439489485,11.1604692380528
62,2,6.87749238366824,2.08417589771566,11.5542338583757
NaN,NaN,7.31768235477036,2.38599419228065,12.4103692645304
NaN,NaN,7.80639802546231,2.63232321511645,12.7911619403022
NaN,NaN,8.22098518906207,3.02890010341922,13.3801886983356
NaN,NaN,8.70618557911919,3.5683974836479,14.0230308180934
