Date,data,median,LB,UB
1/8/2023,1,0,0,3.57
1/15/2023,1,0,0,4.01
1/22/2023,0,0,0,4.04
1/29/2023,0,0,0,4.23
2/5/2023,0,0,0,4.06
2/12/2023,0,0,0,4.17
2/19/2023,1,0,0,4.48
2/26/2023,0,0,0,4.26
3/5/2023,1,0.01,0,4.46
3/12/2023,1,0.1,0,4.63
3/19/2023,1,0.18,0,4.53
3/26/2023,1,0.26,0,4.65
4/2/2023,1,0.35,0,4.73
4/9/2023,2,0.43,0,5.23
4/16/2023,0,0.51,0,4.89
4/23/2023,0,0.6,0,5.6
4/30/2023,1,0.68,0,5.13
5/7/2023,0,0.76,0,5.4
5/14/2023,2,0.85,0,5.5
5/21/2023,2,0.93,0,5.64
5/28/2023,2,1.01,0,5.37
6/4/2023,1,1.1,0,5.98
6/11/2023,0,1.18,0,5.7
6/18/2023,0,1.27,0,6.19
6/25/2023,0,1.35,0,6.15
7/2/2023,0,1.43,0,5.71
7/9/2023,0,1.52,0,6.23
7/16/2023,0,1.6,0,6.63
7/23/2023,2,1.68,0,6.45
7/30/2023,0,1.77,0,6.1
8/6/2023,1,1.85,0,6.31
8/13/2023,0,1.93,0,6.64
8/20/2023,1,2.02,0,6.63
8/27/2023,0,2.1,0,6.7
9/3/2023,0,2.18,0,6.79
9/10/2023,3,2.27,0,6.96
9/17/2023,1,2.35,0,6.77
9/24/2023,5,2.44,0,7.05
10/1/2023,5,2.52,0,7.19
10/8/2023,1,2.6,0,6.97
10/15/2023,1,2.69,0,7.17
10/22/2023,0,2.77,0,7.46
10/29/2023,2,2.85,0,7.19
11/5/2023,1,2.94,0,7.29
11/12/2023,0,3.02,0,7.74
11/19/2023,0,3.1,0,7.77
11/26/2023,0,3.19,0,7.53
12/3/2023,1,3.27,0,7.74
12/10/2023,2,3.35,0,7.98
12/17/2023,3,3.44,0,8
12/24/2023,11,3.52,0,8.01
12/31/2023,4,3.61,0,7.95
1/7/2024,4,3.69,0,8.13
1/14/2024,2,3.77,0,8.77
1/21/2024,2,3.86,0,8.58
1/28/2024,5,3.94,0,8.23
2/4/2024,3,4.02,0,8.57
2/11/2024,14,4.11,0,8.33
2/18/2024,9,4.19,0,8.56
2/25/2024,6,4.27,0,8.23
3/3/2024,2,4.36,0,9.03
3/10/2024,10,4.44,0,8.97
3/17/2024,2,4.53,0,9.3
3/24/2024,NA,4.61,0,9.67
3/31/2024,NA,4.69,0.43,9.05
4/7/2024,NA,4.78,0.04,9.52
4/14/2024,NA,4.86,0.44,9.51
