Date,data,median,LB,UB
1/8/2023,1,0.5,0,2.61
1/15/2023,1,0.45,0,2.39
1/22/2023,0,0.32,0,2.24
1/29/2023,0,0.21,0,2.13
2/5/2023,0,0.18,0,2.06
2/12/2023,0,0.24,0,2.11
2/19/2023,1,0.38,0,2.26
2/26/2023,0,0.57,0,2.43
3/5/2023,1,0.76,0,2.64
3/12/2023,1,0.92,0,2.78
3/19/2023,1,1.03,0,2.92
3/26/2023,1,1.07,0,2.92
4/2/2023,1,1.01,0,2.89
4/9/2023,2,0.86,0,2.72
4/16/2023,0,0.71,0,2.6
4/23/2023,0,0.66,0,2.52
4/30/2023,1,0.77,0,2.65
5/7/2023,0,1.03,0,2.9
5/14/2023,2,1.3,0,3.17
5/21/2023,2,1.44,0,3.32
5/28/2023,2,1.33,0,3.2
6/4/2023,1,1,0,2.88
6/11/2023,0,0.59,0,2.45
6/18/2023,0,0.25,0,2.13
6/25/2023,0,0.07,0,1.93
7/2/2023,0,0.07,0,1.96
7/9/2023,0,0.21,0,2.06
7/16/2023,0,0.39,0,2.28
7/23/2023,2,0.54,0,2.4
7/30/2023,0,0.57,0,2.45
8/6/2023,1,0.51,0,2.38
8/13/2023,0,0.45,0,2.32
8/20/2023,1,0.49,0,2.37
8/27/2023,0,0.75,0,2.61
9/3/2023,0,1.25,0,3.13
9/10/2023,3,1.93,0.07,3.79
9/17/2023,1,2.59,0.71,4.48
9/24/2023,5,2.97,1.11,4.83
10/1/2023,5,2.91,1.03,4.8
10/8/2023,1,2.41,0.55,4.26
10/15/2023,1,1.74,0,3.63
10/22/2023,0,1.17,0,3.03
10/29/2023,2,0.71,0,2.59
11/5/2023,1,0.38,0,2.25
11/12/2023,0,0.2,0,2.07
11/19/2023,0,0.27,0,2.15
11/26/2023,0,0.77,0,2.63
12/3/2023,1,1.7,0,3.58
12/10/2023,2,2.94,1.08,4.8
12/17/2023,3,4.1,2.21,5.99
12/24/2023,11,4.72,2.86,6.57
12/31/2023,4,4.7,2.81,6.58
1/7/2024,4,4.2,2.34,6.06
1/14/2024,2,3.83,1.95,5.71
1/21/2024,2,4.09,2.22,5.95
1/28/2024,5,5.03,3.15,6.9
2/4/2024,3,6.36,4.48,8.23
2/11/2024,14,7.38,5.5,9.27
2/18/2024,9,7.71,5.8,9.63
2/25/2024,6,7.31,5.39,9.24
3/3/2024,2,6.38,4.44,8.32
3/10/2024,10,5.22,3.11,7.33
3/17/2024,2,3.93,0.85,7.02
3/24/2024,NA,2.57,0,7.49
3/31/2024,NA,1.21,0,8.23
4/7/2024,NA,0,0,9.07
4/14/2024,NA,0,0,9.95
