time,data,median,LB,UB
0,1,1,1,1
1,1,0,0,2
2,0,0,0,2
3,0,0,0,2
4,0,0,0,2
5,0,0,0,2
6,1,0,0,2
7,0,0,0,3
8,1,0,0,3
9,1,0,0,3
10,1,0,0,3
11,1,0,0,3
12,1,0,0,3
13,2,0,0,3
14,0,0,0,4
15,0,0,0,3
16,1,0,0,4
17,0,0,0,4
18,2,0,0,4
19,2,0,0,4
20,2,0,0,4
21,1,0,0,4
22,0,0,0,4
23,0,1,0,5
24,0,1,0,5
25,0,1,0,5
26,0,1,0,5
27,0,1,0,5
28,2,1,0,5
29,0,1,0,5.5
30,1,1,0,6
31,0,1,0,6
32,1,1,0,6
33,0,1,0,6
34,0,1,0,6
35,3,1,0,6
36,1,1,0,7
37,5,2,0,7
38,5,2,0,7
39,1,2,0,7
40,1,2,0,7
41,0,2,0,8
42,2,2,0,8
43,1,2,0,8
44,0,2,0,8
45,0,2,0,8
46,0,2,0,9
47,1,2,0,9
48,2,3,0,9
49,3,3,0,9
50,11,3,0,9
51,4,3,0,10
52,4,3,0,10
53,2,3,0,10
54,2,3,0,10
55,5,4,0,11
56,3,4,0,11
57,14,4,0,11
58,9,4,0,11
59,6,4,0,12
60,2,4,0,12
61,10,4,0,12
62,2,5,0,13
NaN,NaN,5,0,13
NaN,NaN,5,1,13
NaN,NaN,5,1,14
NaN,NaN,5,1,14
