Date,data,median,LB,UB
2023-01-08,1,0,0,7.71
2023-01-15,1,0,0,7.66
2023-01-22,0,0,0,8
2023-01-29,0,0,0,8.13
2023-02-05,0,0,0,8
2023-02-12,0,0,0,8.64
2023-02-19,1,0,0,8.45
2023-02-26,0,0,0,8.77
2023-03-05,1,0,0,8.53
2023-03-12,1,0,0,9.2
2023-03-19,1,0,0,8.77
2023-03-26,1,0,0,9.46
2023-04-02,1,0,0,8.77
2023-04-09,2,0.04,0,9.64
2023-04-16,0,0.18,0,9.1
2023-04-23,0,0.31,0,9.26
2023-04-30,1,0.44,0,10.56
2023-05-07,0,0.58,0,9.82
2023-05-14,2,0.71,0,9.74
2023-05-21,2,0.85,0,10.28
2023-05-28,2,0.98,0,10.7
2023-06-04,1,1.12,0,10.56
2023-06-11,0,1.25,0,10.47
2023-06-18,0,1.38,0,10.51
2023-06-25,0,1.52,0,10.77
2023-07-02,0,1.65,0,10.98
2023-07-09,0,1.79,0,11.25
2023-07-16,0,1.92,0,10.92
2023-07-23,2,2.05,0,11.64
2023-07-30,0,2.19,0,11.11
2023-08-06,1,2.32,0,11.42
2023-08-13,0,2.46,0,11.11
2023-08-20,1,2.59,0,11.16
2023-08-27,0,2.73,0,12.82
2023-09-03,0,2.86,0,12.25
2023-09-10,3,3,0,12
2023-09-17,1,3.13,0,12.89
2023-09-24,5,3.27,0,12.58
2023-10-01,5,3.4,0,12.57
2023-10-08,1,3.53,0,12.48
2023-10-15,1,3.67,0,12.61
2023-10-22,0,3.8,0,13.3
2023-10-29,2,3.94,0,13.54
2023-11-05,1,4.07,0,12.89
2023-11-12,0,4.21,0,13.73
2023-11-19,0,4.34,0,14.65
2023-11-26,0,4.48,0,14.01
2023-12-03,1,4.61,0,13.86
2023-12-10,2,4.75,0,13.99
2023-12-17,3,4.88,0,14.74
2023-12-24,11,5.02,0,14.7
2023-12-31,4,5.15,0,14.37
2024-01-07,4,5.29,0,14.87
2024-01-14,2,5.43,0,14.51
2024-01-21,2,5.56,0,14.25
2024-01-28,5,5.7,0,14.93
2024-02-04,3,5.83,0,16.04
2024-02-11,14,5.97,0,15.66
2024-02-18,9,6.1,0,15.76
2024-02-25,6,6.24,0,15.08
2024-03-03,3,6.37,0,15.74
2024-03-10,11,6.51,0,16.34
2024-03-17,39,6.64,0,15.54
2024-03-24,7,6.78,0,16.68
2024-03-31,2,6.91,0,16.46
2024-04-07,NA,7.05,0,16.14
2024-04-14,NA,7.18,0,17.05
2024-04-21,NA,7.32,0,16.14
2024-04-28,NA,7.45,0,16.32
