Date,data,median,LB,UB
2023-01-08,1,0,0,0.6
2023-01-15,1,0,0,0.68
2023-01-22,0,0,0,0.77
2023-01-29,0,0,0,0.85
2023-02-05,0,0,0,0.93
2023-02-12,0,0,0,1.01
2023-02-19,1,0,0,1.1
2023-02-26,0,0,0,1.18
2023-03-05,1,0,0,1.27
2023-03-12,1,0,0,1.35
2023-03-19,1,0,0,1.44
2023-03-26,1,0,0,1.53
2023-04-02,1,0,0,1.62
2023-04-09,2,0.04,0,1.71
2023-04-16,0,0.17,0,1.8
2023-04-23,0,0.31,0,1.89
2023-04-30,1,0.44,0,1.98
2023-05-07,0,0.58,0,2.08
2023-05-14,2,0.71,0,2.18
2023-05-21,2,0.85,0,2.27
2023-05-28,2,0.98,0,2.37
2023-06-04,1,1.12,0,2.48
2023-06-11,0,1.25,0,2.58
2023-06-18,0,1.39,0.08,2.69
2023-06-25,0,1.52,0.24,2.8
2023-07-02,0,1.66,0.4,2.91
2023-07-09,0,1.79,0.56,3.02
2023-07-16,0,1.93,0.71,3.14
2023-07-23,2,2.06,0.86,3.26
2023-07-30,0,2.2,1.01,3.38
2023-08-06,1,2.33,1.15,3.51
2023-08-13,0,2.47,1.29,3.64
2023-08-20,1,2.6,1.43,3.77
2023-08-27,0,2.73,1.56,3.91
2023-09-03,0,2.87,1.69,4.05
2023-09-10,3,3,1.82,4.19
2023-09-17,1,3.14,1.94,4.34
2023-09-24,5,3.27,2.06,4.49
2023-10-01,5,3.41,2.18,4.64
2023-10-08,1,3.54,2.29,4.8
2023-10-15,1,3.68,2.4,4.96
2023-10-22,0,3.81,2.51,5.12
2023-10-29,2,3.95,2.62,5.28
2023-11-05,1,4.08,2.72,5.44
2023-11-12,0,4.22,2.83,5.61
2023-11-19,0,4.35,2.93,5.78
2023-11-26,0,4.49,3.02,5.95
2023-12-03,1,4.62,3.12,6.13
2023-12-10,2,4.76,3.22,6.3
2023-12-17,3,4.89,3.31,6.48
2023-12-24,11,5.03,3.4,6.66
2023-12-31,4,5.16,3.49,6.83
2024-01-07,4,5.3,3.58,7.01
2024-01-14,2,5.43,3.67,7.2
2024-01-21,2,5.57,3.76,7.38
2024-01-28,5,5.7,3.85,7.56
2024-02-04,3,5.84,3.93,7.74
2024-02-11,14,5.97,4.02,7.93
2024-02-18,9,6.11,4.1,8.11
2024-02-25,6,6.24,4.19,8.3
2024-03-03,3,6.38,4.27,8.49
2024-03-10,11,6.51,4.35,8.67
2024-03-17,39,6.65,4.43,8.86
2024-03-24,7,6.78,4.52,9.05
2024-03-31,2,6.92,4.6,9.24
2024-04-07,NA,7.05,4.68,9.43
2024-04-14,NA,7.19,4.76,9.62
2024-04-21,NA,7.32,4.84,9.81
2024-04-28,NA,7.46,4.92,10
