time,data,median,LB,UB
0,1,1,1,1
1,1,0.145163588492548,-0,8.69572098844108
2,0,0.157004458838726,-0,8.94142346711697
3,0,0.182570106549432,-0,9.40797142410862
4,0,0.00945233690107974,-0,8.74870777451475
5,0,0.247625965063207,-0,8.97821526931526
6,1,0.240387634087008,-0,8.78338676476776
7,0,0.273069489483935,-0,9.04634362699137
8,1,0.193618910778392,-0,9.19390023924464
9,1,0.224762033315224,-0,9.29963070381519
10,1,0.263492767992405,-0,9.14689127583654
11,1,0.287683479501463,-0,8.75705944272266
12,1,0.31890580547484,-0,9.21920480993598
13,2,0.356674689516071,-0,9.15505287399644
14,0,0.330206480506662,-0,8.93611012642396
15,0,0.170452848778551,-0,9.43603965904977
16,1,0.206428397444084,-0,9.09529739618913
17,0,0.266981608062925,-0,9.32481952575339
18,2,0.341219366937274,-0,9.23488657371449
19,2,0.384017943496682,-0,9.19781045380969
20,2,0.382934115631524,-0,9.29965761039882
21,1,0.432720096761123,-0,9.48384571375302
22,0,0.665951890383571,-0,9.32496266090305
23,0,0.627642710706238,-0,9.56679863146612
24,0,0.633787838677224,-0,9.58961600348668
25,0,0.680021944352313,-0,9.65274577160818
26,0,0.756016703060161,-0,9.75069481825096
27,0,0.817001225571655,-0,9.61869821471629
28,2,0.94184196791148,-0,9.8163352250997
29,0,1.00744350643863,-0,10.0272926981607
30,1,0.978090795277117,-0,9.94482858606256
31,0,1.04395515613869,-0,10.1310463192886
32,1,1.20274913544567,-0,9.96842718382231
33,0,1.23959290922,-0,10.2121405028021
34,0,1.38588295171993,-0,10.2975191932493
35,3,1.45314805654538,-0,10.4504278640226
36,1,1.64552638320559,-0,10.4745569873479
37,5,1.69719180301558,-0,10.703047453633
38,5,1.79579539739883,-0,10.6549330998207
39,1,1.87584677802581,-0,11.0959685428221
40,1,2.06504651138923,-0,10.9027392271294
41,0,2.16593284381577,-0,11.0216731511647
42,2,2.42381106813204,-0,11.4856591270372
43,1,2.67225359930005,-0,11.952798572094
44,0,2.78572032194579,-0,11.5032302290121
45,0,2.92935001444513,-0,12.0686600844299
46,0,3.15884661117813,-0,11.9750939715411
47,1,3.44456605169815,-0,12.5049551300265
48,2,3.72730691837615,-0,12.7936176973401
49,3,4.00272261092975,-0,12.9154104696636
50,11,4.23196004774708,-0,13.3822070219973
51,4,4.64766402584243,-0,13.5598968004659
52,4,4.98165030040034,-0,13.8871925575365
53,2,5.41750670635809,-0,14.2770561994164
54,2,5.87665198522854,-0,14.8776160636755
55,5,6.23682774619932,-0,15.3572370097982
56,3,6.73927833549822,-0,15.707735767163
57,14,7.13787225138874,-0,16.5302417836787
58,9,7.69004793393903,-0,16.8593405253
59,6,8.30529381644646,-0,17.5956018256246
60,3,8.86238026960037,-0,18.1715129571384
61,11,9.68327739471125,-0,19.5200811021504
62,39,10.2778110634405,-0,19.9015695386809
63,7,11.151693517652,-0,20.9280918714587
64,2,12.1216739495518,0.290919956080009,21.7798648657852
NaN,NaN,12.8543647097883,0.207509642229353,22.9323510326053
NaN,NaN,13.8579018196102,0.48584085300961,24.1801875784078
NaN,NaN,14.9212861476549,0.574497209473492,25.4699338394924
NaN,NaN,15.9975714248622,0.345621277936715,26.9238146307072
