Date,data,median,LB,UB
2023-01-08,1,1.01,0,5.78
2023-01-15,1,0.95,0,5.61
2023-01-22,0,0.14,0,4.34
2023-01-29,0,0,0,3.19
2023-02-05,0,0,0,3.83
2023-02-12,0,0.32,0,3.67
2023-02-19,1,0.5,0,4.11
2023-02-26,0,0.5,0,3.97
2023-03-05,1,0.69,0,4.14
2023-03-12,1,1.03,0,4.63
2023-03-19,1,1.08,0,4.39
2023-03-26,1,0.98,0,4.68
2023-04-02,1,1.19,0,4.39
2023-04-09,2,1.32,0,5.08
2023-04-16,0,0.75,0,3.89
2023-04-23,0,0.07,0,3.87
2023-04-30,1,0.13,0,3.26
2023-05-07,0,0.8,0,4.58
2023-05-14,2,1.67,0,4.84
2023-05-21,2,2.14,0,5.88
2023-05-28,2,1.85,0,5.11
2023-06-04,1,1.04,0,4.68
2023-06-11,0,0.15,0,3.52
2023-06-18,0,0,0,3.36
2023-06-25,0,0.05,0,3.55
2023-07-02,0,0.04,0,3.44
2023-07-09,0,0,0,3.51
2023-07-16,0,0.39,0,3.68
2023-07-23,2,1.12,0,4.84
2023-07-30,0,1.01,0,4.2
2023-08-06,1,0.43,0,4.21
2023-08-13,0,0.27,0,3.41
2023-08-20,1,0.43,0,4.23
2023-08-27,0,0.55,0,3.68
2023-09-03,0,0.67,0,4.44
2023-09-10,3,1.1,0,4.29
2023-09-17,1,2.58,0,6.29
2023-09-24,5,4.69,1.41,7.97
2023-10-01,5,4.51,0.89,8.13
2023-10-08,1,1.69,0,5.1
2023-10-15,1,0.17,0,3.67
2023-10-22,0,0.93,0,4.46
2023-10-29,2,1.4,0,4.78
2023-11-05,1,0.89,0,4.53
2023-11-12,0,0.36,0,3.62
2023-11-19,0,0.07,0,3.8
2023-11-26,0,0,0,3.05
2023-12-03,1,0.41,0,4.19
2023-12-10,2,2.36,0,5.49
2023-12-17,3,5.01,1.22,8.81
2023-12-24,11,7.05,3.91,10.19
2023-12-31,4,6.74,2.97,10.5
2024-01-07,4,3.71,0.5,6.91
2024-01-14,2,1.53,0,5.22
2024-01-21,2,2.26,0,5.57
2024-01-28,5,3.89,0.3,7.49
2024-02-04,3,5.84,2.39,9.28
2024-02-11,14,10.02,6.55,13.49
2024-02-18,9,12.67,9.06,16.28
2024-02-25,6,5.14,1.79,8.5
2024-03-03,3,0,0,2.97
2024-03-10,11,17.46,14.11,20.81
2024-03-17,39,34.1,29.91,38.3
2024-03-24,7,9.01,4.35,13.68
2024-03-31,2,1.61,0,6.39
2024-04-07,NA,44.43,20.14,68.72
2024-04-14,NA,87.5,41.53,133.47
2024-04-21,NA,130.57,62.8,198.34
2024-04-28,NA,173.65,84.05,263.25
