Date,data,median,LB,UB
1/8/2023,1,0,0,3.53
1/15/2023,1,0,0,3.68
1/22/2023,0,0,0,3.82
1/29/2023,0,0,0,3.77
2/5/2023,0,0,0,4.54
2/12/2023,0,0,0,3.93
2/19/2023,1,0,0,3.81
2/26/2023,0,0,0,4.6
3/5/2023,1,0.06,0,4.39
3/12/2023,1,0.14,0,4.41
3/19/2023,1,0.22,0,4.75
3/26/2023,1,0.29,0,4.43
4/2/2023,1,0.37,0,4.7
4/9/2023,2,0.45,0,4.85
4/16/2023,0,0.53,0,5.11
4/23/2023,0,0.61,0,4.75
4/30/2023,1,0.69,0,4.95
5/7/2023,0,0.77,0,4.96
5/14/2023,2,0.85,0,5.14
5/21/2023,2,0.93,0,4.86
5/28/2023,2,1.01,0,5.16
6/4/2023,1,1.09,0,5.39
6/11/2023,0,1.17,0,5.38
6/18/2023,0,1.25,0,5.39
6/25/2023,0,1.33,0,5.65
7/2/2023,0,1.41,0,5.4
7/9/2023,0,1.49,0,5.57
7/16/2023,0,1.57,0,6.01
7/23/2023,2,1.65,0,5.97
7/30/2023,0,1.73,0,5.95
8/6/2023,1,1.81,0,5.84
8/13/2023,0,1.89,0,6.09
8/20/2023,1,1.97,0,6.23
8/27/2023,0,2.05,0,6.45
9/3/2023,0,2.13,0,6.28
9/10/2023,3,2.21,0,6.54
9/17/2023,1,2.29,0,6.5
9/24/2023,5,2.37,0,6.62
10/1/2023,5,2.45,0,6.83
10/8/2023,1,2.53,0,7.09
10/15/2023,1,2.61,0,6.98
10/22/2023,0,2.69,0,7.15
10/29/2023,2,2.77,0,7.11
11/5/2023,1,2.85,0,7
11/12/2023,0,2.93,0,7.13
11/19/2023,0,3.01,0,7.31
11/26/2023,0,3.08,0,7.3
12/3/2023,1,3.16,0,7.83
12/10/2023,2,3.24,0,7.67
12/17/2023,3,3.32,0,7.64
12/24/2023,11,3.4,0,7.76
12/31/2023,4,3.48,0,7.56
1/7/2024,4,3.56,0,7.82
1/14/2024,2,3.64,0,8.04
1/21/2024,2,3.72,0,8
1/28/2024,5,3.8,0,8.17
2/4/2024,3,3.88,0,8.35
2/11/2024,14,3.96,0,8.01
2/18/2024,9,4.04,0,8.09
2/25/2024,6,4.12,0,8.5
3/3/2024,3,4.2,0,8.45
3/10/2024,4,4.28,0.04,8.41
3/17/2024,NA,4.36,0,8.75
3/24/2024,NA,4.44,0,8.67
3/31/2024,NA,4.52,0.11,8.95
4/7/2024,NA,4.6,0.19,8.98
