Date,data,median,LB,UB
1/8/2023,1,0.63,0,2.45
1/15/2023,1,0.64,0,2.51
1/22/2023,0,0.36,0,2.13
1/29/2023,0,0.1,0,1.89
2/5/2023,0,0.05,0,1.8
2/12/2023,0,0.17,0,1.94
2/19/2023,1,0.37,0,2.14
2/26/2023,0,0.59,0,2.35
3/5/2023,1,0.77,0,2.56
3/12/2023,1,0.92,0,2.66
3/19/2023,1,1.06,0,2.86
3/26/2023,1,1.19,0,2.92
4/2/2023,1,1.19,0,3
4/9/2023,2,0.94,0,2.67
4/16/2023,0,0.59,0,2.4
4/23/2023,0,0.37,0,2.09
4/30/2023,1,0.47,0,2.28
5/7/2023,0,0.93,0,2.66
5/14/2023,2,1.48,0,3.28
5/21/2023,2,1.82,0.08,3.56
5/28/2023,2,1.67,0,3.46
6/4/2023,1,1.07,0,2.83
6/11/2023,0,0.43,0,2.2
6/18/2023,0,0.01,0,1.78
6/25/2023,0,0,0,1.59
7/2/2023,0,0,0,1.71
7/9/2023,0,0.19,0,1.93
7/16/2023,0,0.53,0,2.34
7/23/2023,2,0.75,0,2.48
7/30/2023,0,0.79,0,2.61
8/6/2023,1,0.66,0,2.38
8/13/2023,0,0.43,0,2.24
8/20/2023,1,0.24,0,1.97
8/27/2023,0,0.33,0,2.13
9/3/2023,0,0.86,0,2.59
9/10/2023,3,1.82,0.03,3.61
9/17/2023,1,2.96,1.21,4.71
9/24/2023,5,3.58,1.81,5.36
10/1/2023,5,3.35,1.59,5.12
10/8/2023,1,2.43,0.67,4.19
10/15/2023,1,1.34,0,3.12
10/22/2023,0,0.85,0,2.6
10/29/2023,2,0.86,0,2.66
11/5/2023,1,0.69,0,2.41
11/12/2023,0,0.29,0,2.1
11/19/2023,0,0,0,1.69
11/26/2023,0,0.09,0,1.9
12/3/2023,1,1,0,2.72
12/10/2023,2,2.76,0.95,4.57
12/17/2023,3,4.98,3.25,6.71
12/24/2023,11,6.17,4.37,7.96
12/31/2023,4,5.51,3.77,7.25
1/7/2024,4,3.96,2.18,5.75
1/14/2024,2,2.65,0.89,4.41
1/21/2024,2,2.65,0.88,4.42
1/28/2024,5,4.24,2.46,6.01
2/4/2024,3,6.8,5.05,8.55
2/11/2024,14,8.93,7.13,10.72
2/18/2024,9,8.82,7.05,10.59
2/25/2024,6,6.91,5.04,8.78
3/3/2024,3,4.77,2.95,6.59
3/10/2024,4,2.97,0.26,5.69
3/17/2024,NA,1.43,0,6.69
3/24/2024,NA,0,0,8.11
3/31/2024,NA,0,0,9.62
4/7/2024,NA,0,0,11.17
