time,data,median,LB,UB
0,1,1,1,1
1,1,0.0996322946224655,-0,4.19075214173962
2,0,0.0784804311454158,-0,4.17854479195958
3,0,0.102134306422538,-0,4.21503984694534
4,0,0.131269119053799,-0,4.155509631446
5,0,0.0665118460792049,-0,4.13966292564287
6,1,0.125946483415916,-0,4.26590774933761
7,0,0.143590148567663,-0,4.18143241394379
8,1,0.148748988168796,-0,4.18408489208246
9,1,0.177781999503872,-0,4.33776126654679
10,1,0.181141673825892,-0,4.32296393446041
11,1,0.227314307446985,-0,4.43988557740821
12,1,0.266514345136405,-0,4.45466091158141
13,2,0.290001094401294,-0,4.39167510646138
14,0,0.296618585207436,-0,4.47587248464135
15,0,0.330714898235233,-0,4.41840495683503
16,1,0.37732529052542,-0,4.44835243939355
17,0,0.292649573422341,-0,4.42854704795341
18,2,0.383002296816745,-0,4.67640179943337
19,2,0.49394242096127,-0,4.44638376159024
20,2,0.425342550448216,-0,4.64590719352235
21,1,0.466123855310523,-0,4.60235470255242
22,0,0.530668753911289,-0,4.65848201303271
23,0,0.570178478869674,-0,4.64453240050834
24,0,0.665727870267976,-0,4.69408808952224
25,0,0.693563652427603,-0,4.77744451879173
26,0,0.659955459613113,-0,4.88353765641866
27,0,0.772310413238267,-0,4.9094520357849
28,2,0.817804383897436,-0,5.11961109993756
29,0,0.872186527237117,-0,5.03895615495112
30,1,0.891773014090299,-0,5.08903353927697
31,0,0.981841699538685,-0,5.19333505801437
32,1,1.03071794567229,-0,5.11838610260033
33,0,1.09927346341707,-0,5.30658783193794
34,0,1.23148575268253,-0,5.33744463032332
35,3,1.3011986648423,-0,5.37390081082544
36,1,1.41924791000126,-0,5.55451677383688
37,5,1.4264965591463,-0,5.52665281164396
38,5,1.58311683867409,-0,5.73778468921848
39,1,1.64544212815131,-0,5.8214528701132
40,1,1.80573016226359,-0,6.07915335986381
41,0,1.93602184654739,-0,6.03074809054529
42,2,2.04541790224084,-0,6.18538316765387
43,1,2.22329990600233,-0,6.28820112468538
44,0,2.31831310944546,-0,6.52939286312883
45,0,2.47599640925412,-0,6.79813556378845
46,0,2.6272599406555,-0,6.74814046625906
47,1,2.91381556042355,-0,7.01801741856637
48,2,2.92761819842664,-0,7.15152501247294
49,3,3.15906327763312,-0,7.3611600805631
50,11,3.3678611668027,-0,7.59296256974834
51,4,3.61517154026767,-0,7.85143540899249
52,4,3.83455843221463,-0,8.10953902966741
53,2,4.0671130343593,-0,8.20278621736243
54,2,4.33363200465596,-0,8.52228786389264
55,5,4.63988101003854,0.190036195025761,8.85790105818949
56,3,4.9149787637606,0.41243426550902,9.2369169205198
57,14,5.23101993548271,0.77585310885447,9.55187301998437
58,9,5.56440677871591,0.83723907705546,10.0080474019295
59,6,5.92093279261725,1.2844938819338,10.2741105660686
60,3,6.22216258417806,1.53906961614077,10.6961513629329
61,4,6.70048120075923,1.83953229223877,11.2403902531668
NaN,NaN,7.07461872069816,2.1361263824338,11.8507381753977
NaN,NaN,7.54648523467418,2.31944028284278,12.4486506766587
NaN,NaN,8.05539126584431,2.66729386586748,13.1500197102789
NaN,NaN,8.59078241974346,3.06564017922046,13.5930384841601
