time,data,median,LB,UB
0,1,1,1,1
1,1,0,0,2
2,0,0,0,2
3,0,0,0,2
4,0,0,0,2
5,0,0,0,2
6,1,0,0,2
7,0,0,0,2
8,1,0,0,3
9,1,0,0,2
10,1,0,0,3
11,1,0,0,3
12,1,0,0,3
13,2,0,0,3
14,0,0,0,3
15,0,0,0,3
16,1,0,0,3
17,0,0,0,3
18,2,0,0,4
19,2,0,0,4
20,2,0,0,4
21,1,0,0,4
22,0,0,0,4
23,0,1,0,4
24,0,1,0,4
25,0,1,0,4
26,0,1,0,5
27,0,1,0,5
28,2,1,0,5
29,0,1,0,5
30,1,1,0,5
31,0,1,0,5
32,1,1,0,5
33,0,1,0,5
34,0,1,0,6
35,3,1,0,6
36,1,1,0,6
37,5,1,0,6
38,5,2,0,6
39,1,2,0,6
40,1,2,0,7
41,0,2,0,7
42,2,2,0,7
43,1,2,0,7
44,0,2,0,8
45,0,2,0,7
46,0,2,0,8
47,1,2,0,8
48,2,3,0,8
49,3,3,0,9
50,11,3,0,9
51,4,3,0,9
52,4,3,0,9
53,2,3,0,10
54,2,3,0,10
55,5,3,0,10
56,3,4,0,10
57,14,4,0,10
58,9,4,0,11
59,6,4,0,11
60,3,4,0,11
61,4,4,0,12
NaN,NaN,5,0,12
NaN,NaN,5,0,12
NaN,NaN,5,0,13
NaN,NaN,5,1,13
