Date,data,median,LB,UB
1/8/2023,1,0,0,0.49
1/15/2023,1,0,0,0.54
1/22/2023,0,0,0,0.59
1/29/2023,0,0,0,0.65
2/5/2023,0,0,0,0.7
2/12/2023,0,0,0,0.76
2/19/2023,1,0,0,0.81
2/26/2023,0,0,0,0.87
3/5/2023,1,0.06,0,0.93
3/12/2023,1,0.14,0,0.98
3/19/2023,1,0.21,0,1.04
3/26/2023,1,0.29,0,1.1
4/2/2023,1,0.37,0,1.15
4/9/2023,2,0.45,0,1.21
4/16/2023,0,0.53,0,1.27
4/23/2023,0,0.61,0,1.33
4/30/2023,1,0.69,0,1.39
5/7/2023,0,0.77,0.09,1.45
5/14/2023,2,0.85,0.19,1.52
5/21/2023,2,0.93,0.28,1.58
5/28/2023,2,1.01,0.38,1.64
6/4/2023,1,1.09,0.47,1.71
6/11/2023,0,1.17,0.57,1.78
6/18/2023,0,1.25,0.66,1.85
6/25/2023,0,1.33,0.75,1.91
7/2/2023,0,1.41,0.84,1.99
7/9/2023,0,1.49,0.92,2.06
7/16/2023,0,1.57,1.01,2.13
7/23/2023,2,1.65,1.09,2.21
7/30/2023,0,1.73,1.17,2.28
8/6/2023,1,1.81,1.26,2.36
8/13/2023,0,1.89,1.33,2.44
8/20/2023,1,1.97,1.41,2.53
8/27/2023,0,2.05,1.49,2.61
9/3/2023,0,2.13,1.56,2.7
9/10/2023,3,2.21,1.63,2.78
9/17/2023,1,2.29,1.7,2.87
9/24/2023,5,2.37,1.77,2.96
10/1/2023,5,2.45,1.84,3.05
10/8/2023,1,2.53,1.91,3.15
10/15/2023,1,2.61,1.97,3.24
10/22/2023,0,2.69,2.04,3.33
10/29/2023,2,2.77,2.1,3.43
11/5/2023,1,2.85,2.16,3.53
11/12/2023,0,2.93,2.23,3.63
11/19/2023,0,3.01,2.29,3.72
11/26/2023,0,3.09,2.35,3.82
12/3/2023,1,3.16,2.41,3.92
12/10/2023,2,3.24,2.46,4.02
12/17/2023,3,3.32,2.52,4.13
12/24/2023,11,3.4,2.58,4.23
12/31/2023,4,3.48,2.64,4.33
1/7/2024,4,3.56,2.69,4.43
1/14/2024,2,3.64,2.75,4.54
1/21/2024,2,3.72,2.81,4.64
1/28/2024,5,3.8,2.86,4.75
2/4/2024,3,3.88,2.92,4.85
2/11/2024,14,3.96,2.97,4.95
2/18/2024,9,4.04,3.02,5.06
2/25/2024,6,4.12,3.08,5.17
3/3/2024,3,4.2,3.13,5.27
3/10/2024,4,4.28,3.19,5.38
3/17/2024,NA,4.36,3.24,5.48
3/24/2024,NA,4.44,3.29,5.59
3/31/2024,NA,4.52,3.35,5.7
4/7/2024,NA,4.6,3.4,5.8
